1000.000000	
	
0.000000	1.000000
0.000009	0.997991
0.000078	0.993922
0.000365	0.986635
0.001331	0.973669
0.003516	0.955484
0.007608	0.931392
0.014046	0.901954
0.022563	0.869437
0.034101	0.830899
0.049026	0.785974
0.067566	0.734434
0.089749	0.676251
0.115345	0.611655
0.143799	0.541201
0.174150	0.465850
0.204959	0.387041
0.233690	0.308310
0.255183	0.241817
0.269892	0.186608
0.278495	0.142005
0.282091	0.105609
0.281448	0.076752
0.277431	0.054269
0.270789	0.037011
0.262205	0.024095
0.252274	0.014726
0.241429	0.008171
0.229263	0.003637
0.217601	0.001199
0.204624	0.000076
0.190600	0.000000
0.176500	0.000000
0.162400	0.000000
0.148300	0.000000
0.134200	0.000000
0.120100	0.000000
0.106000	0.000000
0.091900	0.000000
0.077800	0.000000
0.065700	0.000000
0.056800	0.000000
0.048600	0.000000
0.040900	0.000000
0.033700	0.000000
0.027100	0.000000
0.020900	0.000000
0.015100	0.000000
0.009700	0.000000
0.004700	0.000000
0.000000	0.000000
